2024-04-23 15:29:18 startup archives unpack
2024-04-23 15:29:18 install efibootmgr:amd64 <none> 18-1build2
2024-04-23 15:29:18 status half-installed efibootmgr:amd64 18-1build2
2024-04-23 15:29:18 status triggers-pending man-db:amd64 2.12.0-4build2
2024-04-23 15:29:18 status unpacked efibootmgr:amd64 18-1build2
2024-04-23 15:29:18 install grub-efi-amd64-bin:amd64 <none> 2.12-1ubuntu7
2024-04-23 15:29:18 status half-installed grub-efi-amd64-bin:amd64 2.12-1ubuntu7
2024-04-23 15:29:18 status unpacked grub-efi-amd64-bin:amd64 2.12-1ubuntu7
2024-04-23 15:29:18 install grub-efi-amd64-signed:amd64 <none> 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 status half-installed grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 status unpacked grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 install mokutil:amd64 <none> 0.6.0-2build3
2024-04-23 15:29:18 status half-installed mokutil:amd64 0.6.0-2build3
2024-04-23 15:29:18 status unpacked mokutil:amd64 0.6.0-2build3
2024-04-23 15:29:18 install shim-signed:amd64 <none> 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 status half-installed shim-signed:amd64 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 status unpacked shim-signed:amd64 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 startup packages configure
2024-04-23 15:29:18 configure efibootmgr:amd64 18-1build2 <none>
2024-04-23 15:29:18 status unpacked efibootmgr:amd64 18-1build2
2024-04-23 15:29:18 status half-configured efibootmgr:amd64 18-1build2
2024-04-23 15:29:18 status installed efibootmgr:amd64 18-1build2
2024-04-23 15:29:18 configure mokutil:amd64 0.6.0-2build3 <none>
2024-04-23 15:29:18 status unpacked mokutil:amd64 0.6.0-2build3
2024-04-23 15:29:18 status half-configured mokutil:amd64 0.6.0-2build3
2024-04-23 15:29:18 status installed mokutil:amd64 0.6.0-2build3
2024-04-23 15:29:18 configure grub-efi-amd64-bin:amd64 2.12-1ubuntu7 <none>
2024-04-23 15:29:18 status unpacked grub-efi-amd64-bin:amd64 2.12-1ubuntu7
2024-04-23 15:29:18 status half-configured grub-efi-amd64-bin:amd64 2.12-1ubuntu7
2024-04-23 15:29:18 status installed grub-efi-amd64-bin:amd64 2.12-1ubuntu7
2024-04-23 15:29:18 configure grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7 <none>
2024-04-23 15:29:18 status unpacked grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 status half-configured grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 status installed grub-efi-amd64-signed:amd64 1.202+2.12-1ubuntu7
2024-04-23 15:29:18 configure shim-signed:amd64 1.58+15.8-0ubuntu1 <none>
2024-04-23 15:29:18 status unpacked shim-signed:amd64 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 status half-configured shim-signed:amd64 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 status installed shim-signed:amd64 1.58+15.8-0ubuntu1
2024-04-23 15:29:18 trigproc man-db:amd64 2.12.0-4build2 <none>
2024-04-23 15:29:18 status half-configured man-db:amd64 2.12.0-4build2
2024-04-23 15:29:19 status installed man-db:amd64 2.12.0-4build2
2024-04-23 15:31:02 startup packages remove
2024-04-23 15:31:02 status installed linux-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:02 remove linux-virtual:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:02 status half-configured linux-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-virtual:amd64 <none>
2024-04-23 15:31:03 status installed linux-headers-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 remove linux-headers-virtual:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-headers-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-headers-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-headers-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-headers-virtual:amd64 <none>
2024-04-23 15:31:03 status installed linux-headers-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 remove linux-headers-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-headers-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-headers-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-headers-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-headers-generic:amd64 <none>
2024-04-23 15:31:03 status installed linux-headers-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 remove linux-headers-6.8.0-31-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-headers-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-headers-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-headers-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-headers-6.8.0-31-generic:amd64 <none>
2024-04-23 15:31:03 status installed linux-headers-6.8.0-31:all 6.8.0-31.31
2024-04-23 15:31:03 remove linux-headers-6.8.0-31:all 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-headers-6.8.0-31:all 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-headers-6.8.0-31:all 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-headers-6.8.0-31:all 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-headers-6.8.0-31:all <none>
2024-04-23 15:31:03 status installed linux-image-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 remove linux-image-virtual:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-image-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-image-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status config-files linux-image-virtual:amd64 6.8.0-31.31
2024-04-23 15:31:03 status not-installed linux-image-virtual:amd64 <none>
2024-04-23 15:31:03 status installed linux-image-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 remove linux-image-6.8.0-31-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:03 status half-configured linux-image-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:03 status half-installed linux-image-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status config-files linux-image-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status installed linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 remove linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:04 status half-configured linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status half-installed linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status config-files linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 startup packages configure
2024-04-23 15:31:04 startup packages purge
2024-04-23 15:31:04 purge linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:04 status config-files linux-modules-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status not-installed linux-modules-6.8.0-31-generic:amd64 <none>
2024-04-23 15:31:04 purge linux-image-6.8.0-31-generic:amd64 6.8.0-31.31 <none>
2024-04-23 15:31:04 status config-files linux-image-6.8.0-31-generic:amd64 6.8.0-31.31
2024-04-23 15:31:04 status not-installed linux-image-6.8.0-31-generic:amd64 <none>
2024-04-23 15:31:04 startup packages configure
2024-04-23 15:31:07 startup archives unpack
2024-04-23 15:31:07 install libllvm18:amd64 <none> 1:18.1.3-1
2024-04-23 15:31:07 status triggers-pending libc-bin:amd64 2.39-0ubuntu8
2024-04-23 15:31:07 status half-installed libllvm18:amd64 1:18.1.3-1
2024-04-23 15:31:08 status unpacked libllvm18:amd64 1:18.1.3-1
2024-04-23 15:31:08 install libclang-cpp18:amd64 <none> 1:18.1.3-1
2024-04-23 15:31:08 status half-installed libclang-cpp18:amd64 1:18.1.3-1
2024-04-23 15:31:09 status unpacked libclang-cpp18:amd64 1:18.1.3-1
2024-04-23 15:31:09 install libbpfcc:amd64 <none> 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status half-installed libbpfcc:amd64 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status unpacked libbpfcc:amd64 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 install python3-bpfcc:all <none> 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status half-installed python3-bpfcc:all 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status unpacked python3-bpfcc:all 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 install ieee-data:all <none> 20220827.1
2024-04-23 15:31:09 status half-installed ieee-data:all 20220827.1
2024-04-23 15:31:09 status triggers-pending man-db:amd64 2.12.0-4build2
2024-04-23 15:31:09 status unpacked ieee-data:all 20220827.1
2024-04-23 15:31:09 install python3-netaddr:all <none> 0.8.0-2ubuntu1
2024-04-23 15:31:09 status half-installed python3-netaddr:all 0.8.0-2ubuntu1
2024-04-23 15:31:09 status unpacked python3-netaddr:all 0.8.0-2ubuntu1
2024-04-23 15:31:09 install bpfcc-tools:all <none> 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status half-installed bpfcc-tools:all 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 status unpacked bpfcc-tools:all 0.29.1+ds-1ubuntu7
2024-04-23 15:31:09 install libclang1-18:amd64 <none> 1:18.1.3-1
2024-04-23 15:31:09 status half-installed libclang1-18:amd64 1:18.1.3-1
